"MTU (CET/CEST)","Area","Sequence","Day-ahead (EUR/MWh)","Energy Price (EUR/MWh)"
"05/01/2015 07:00:00 - 05/01/2015 08:00:00","BZN|SE3","Without sequence","32.84",""
"05/01/2015 08:00:00 - 05/01/2015 09:00:00","BZN|SE3","Without sequence","38.15",""
"05/01/2015 09:00:00 - 05/01/2015 10:00:00","BZN|SE3","Without sequence","41.51",""
"05/01/2015 10:00:00 - 05/01/2015 11:00:00","BZN|SE3","Without sequence","40.46",""
"05/01/2015 11:00:00 - 05/01/2015 12:00:00","BZN|SE3","Without sequence","40.97",""
"05/01/2015 12:00:00 - 05/01/2015 13:00:00","BZN|SE3","Without sequence","40.72",""
"05/01/2015 13:00:00 - 05/01/2015 14:00:00","BZN|SE3","Without sequence","41.92",""
"05/01/2015 14:00:00 - 05/01/2015 15:00:00","BZN|SE3","Without sequence","42.0",""
"05/01/2015 15:00:00 - 05/01/2015 16:00:00","BZN|SE3","Without sequence","43.1",""
"05/01/2015 16:00:00 - 05/01/2015 17:00:00","BZN|SE3","Without sequence","46.7",""
"05/01/2015 17:00:00 - 05/01/2015 18:00:00","BZN|SE3","Without sequence","56.78",""
"05/01/2015 18:00:00 - 05/01/2015 19:00:00","BZN|SE3","Without sequence","58.84",""
"05/01/2015 19:00:00 - 05/01/2015 20:00:00","BZN|SE3","Without sequence","49.23",""
"05/01/2015 20:00:00 - 05/01/2015 21:00:00","BZN|SE3","Without sequence","44.32",""
"05/01/2015 21:00:00 - 05/01/2015 22:00:00","BZN|SE3","Without sequence","35.86",""
"05/01/2015 22:00:00 - 05/01/2015 23:00:00","BZN|SE3","Without sequence","32.56",""
"05/01/2015 23:00:00 - 06/01/2015 00:00:00","BZN|SE3","Without sequence","30.03",""
"06/01/2015 00:00:00 - 06/01/2015 01:00:00","BZN|SE3","Without sequence","30.02",""
"06/01/2015 01:00:00 - 06/01/2015 02:00:00","BZN|SE3","Without sequence","29.81",""
"06/01/2015 02:00:00 - 06/01/2015 03:00:00","BZN|SE3","Without sequence","29.41",""
"06/01/2015 03:00:00 - 06/01/2015 04:00:00","BZN|SE3","Without sequence","29.11",""
"06/01/2015 04:00:00 - 06/01/2015 05:00:00","BZN|SE3","Without sequence","29.5",""
"06/01/2015 05:00:00 - 06/01/2015 06:00:00","BZN|SE3","Without sequence","29.64",""
"06/01/2015 06:00:00 - 06/01/2015 07:00:00","BZN|SE3","Without sequence","29.67",""
"06/01/2015 07:00:00 - 06/01/2015 08:00:00","BZN|SE3","Without sequence","30.03",""
"06/01/2015 08:00:00 - 06/01/2015 09:00:00","BZN|SE3","Without sequence","30.5",""
"06/01/2015 09:00:00 - 06/01/2015 10:00:00","BZN|SE3","Without sequence","30.35",""
"06/01/2015 10:00:00 - 06/01/2015 11:00:00","BZN|SE3","Without sequence","30.53",""
"06/01/2015 11:00:00 - 06/01/2015 12:00:00","BZN|SE3","Without sequence","30.47",""
"06/01/2015 12:00:00 - 06/01/2015 13:00:00","BZN|SE3","Without sequence","30.06",""
"06/01/2015 13:00:00 - 06/01/2015 14:00:00","BZN|SE3","Without sequence","29.98",""
"06/01/2015 14:00:00 - 06/01/2015 15:00:00","BZN|SE3","Without sequence","29.99",""
"06/01/2015 15:00:00 - 06/01/2015 16:00:00","BZN|SE3","Without sequence","30.48",""
"06/01/2015 16:00:00 - 06/01/2015 17:00:00","BZN|SE3","Without sequence","30.83",""
"06/01/2015 17:00:00 - 06/01/2015 18:00:00","BZN|SE3","Without sequence","31.04",""
"06/01/2015 18:00:00 - 06/01/2015 19:00:00","BZN|SE3","Without sequence","30.52",""
"06/01/2015 19:00:00 - 06/01/2015 20:00:00","BZN|SE3","Without sequence","29.99",""
"06/01/2015 20:00:00 - 06/01/2015 21:00:00","BZN|SE3","Without sequence","29.61",""
"06/01/2015 21:00:00 - 06/01/2015 22:00:00","BZN|SE3","Without sequence","29.15",""
"06/01/2015 22:00:00 - 06/01/2015 23:00:00","BZN|SE3","Without sequence","28.11",""
"06/01/2015 23:00:00 - 07/01/2015 00:00:00","BZN|SE3","Without sequence","27.32",""
"07/01/2015 00:00:00 - 07/01/2015 01:00:00","BZN|SE3","Without sequence","26.35",""
"07/01/2015 01:00:00 - 07/01/2015 02:00:00","BZN|SE3","Without sequence","26.08",""
"07/01/2015 02:00:00 - 07/01/2015 03:00:00","BZN|SE3","Without sequence","26.03",""
"07/01/2015 03:00:00 - 07/01/2015 04:00:00","BZN|SE3","Without sequence","26.17",""
"07/01/2015 04:00:00 - 07/01/2015 05:00:00","BZN|SE3","Without sequence","26.74",""
"07/01/2015 05:00:00 - 07/01/2015 06:00:00","BZN|SE3","Without sequence","28.11",""
"07/01/2015 06:00:00 - 07/01/2015 07:00:00","BZN|SE3","Without sequence","30.27",""
"07/01/2015 07:00:00 - 07/01/2015 08:00:00","BZN|SE3","Without sequence","33.17",""
"07/01/2015 08:00:00 - 07/01/2015 09:00:00","BZN|SE3","Without sequence","34.1",""
"07/01/2015 09:00:00 - 07/01/2015 10:00:00","BZN|SE3","Without sequence","33.28",""
"07/01/2015 10:00:00 - 07/01/2015 11:00:00","BZN|SE3","Without sequence","34.08",""
"07/01/2015 11:00:00 - 07/01/2015 12:00:00","BZN|SE3","Without sequence","33.63",""
"07/01/2015 12:00:00 - 07/01/2015 13:00:00","BZN|SE3","Without sequence","33.11",""
"07/01/2015 13:00:00 - 07/01/2015 14:00:00","BZN|SE3","Without sequence","33.2",""
"07/01/2015 14:00:00 - 07/01/2015 15:00:00","BZN|SE3","Without sequence","33.61",""
"07/01/2015 15:00:00 - 07/01/2015 16:00:00","BZN|SE3","Without sequence","37.43",""
"07/01/2015 16:00:00 - 07/01/2015 17:00:00","BZN|SE3","Without sequence","40.71",""
"07/01/2015 17:00:00 - 07/01/2015 18:00:00","BZN|SE3","Without sequence","41.11",""
"07/01/2015 18:00:00 - 07/01/2015 19:00:00","BZN|SE3","Without sequence","35.48",""
"07/01/2015 19:00:00 - 07/01/2015 20:00:00","BZN|SE3","Without sequence","33.19",""
"07/01/2015 20:00:00 - 07/01/2015 21:00:00","BZN|SE3","Without sequence","31.12",""
"07/01/2015 21:00:00 - 07/01/2015 22:00:00","BZN|SE3","Without sequence","29.84",""
